,NC1 Log2,NC2 Log2,NC3 Log2,NC4 Log2,GC1 Log2,GC2 Log2,GC3 Log2,GC4 Log2,PL1 Log2,PL2 Log2,PL3 Log2,PL4 Log2,Pattern,Ribosome,Spliceosome,"Valine, leucine and isoleucine degradation",Oxidative phosphorylation,Proteasome,Protein processing in endoplasmic reticulum,Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Endocytosis,Fatty acid degradation,Fatty acid metabolism,RNA transport,Pyruvate metabolism,Fructose and mannose metabolism,Regulation of actin cytoskeleton,Phagosome,Complement and coagulation cascades,Arginine and proline metabolism,DNA Replication,PPAR signaling pathway,ECM-receptor interaction,Focal adhesion,Pentose phosphate pathway,RNA degradation,Mismatch repair,Stomach specific,Mitochondrion,Cytoplasm,Extracellular exosome,Membrane,Nucleus,Endoplasmic reticulum,Golgi apparatus
3434,16.015092042975514,15.969365071781143,15.934418805893873,15.847844983294527,16.02582966235306,15.909361662049069,15.975371835202969,16.061680546586064,15.968496561944823,15.789215778210634,15.846831454034477,16.010996721712573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
3435,15.344639715952887,15.290185260617024,15.141106354842979,15.158432204647575,14.97219473717839,14.972990736879835,14.976815551611802,14.906203091280814,15.296018074640038,15.086201147052348,15.140984518653761,15.58662025335602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3436,14.540858193926432,14.554101802690214,14.14851038399347,14.224905390505219,14.287149384123103,13.97607209976801,14.444456157685037,14.399639405684216,14.213012620704008,14.05266289305473,14.316357548625444,14.164614636308979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3437,16.191705970081273,16.17410363086536,16.171620069274322,16.205840311654452,16.344904398293835,16.259742886439543,16.364664730529807,16.382572366263997,16.27211820201209,16.32150364098821,16.24630155852446,16.18628633504786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3438,15.503937380673097,15.647480720218931,15.834649729096158,15.89156599488286,15.64224272743878,15.60592685866354,15.379799096758743,15.693428930625487,15.740238660931388,16.043390569993534,15.589289914234897,15.796875738333737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3439,12.331321941683912,12.21419694187539,12.776412631471397,12.87841330297926,12.773262176703119,13.768985741420988,13.12092540473071,12.99395891087752,12.497157421768737,13.3796821785171,12.987059950543843,12.886877364538112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3440,17.188457834397845,17.33791452356882,17.179452741801526,17.340486743973617,17.259980660079503,16.925440104055124,17.235957147224113,16.855029807800285,17.108372947940513,17.10136846371977,17.253519158650295,17.040590384781922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3441,13.167729689732736,13.46984533994867,14.026334873714173,13.920395992430754,13.957627891026055,14.321429073230037,13.72828428631584,13.900523236943993,13.684115238590502,14.392380985176027,13.915503523774241,13.881442266300603,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3442,15.640832288324425,15.650259542345642,15.539689721480649,15.44547252744336,15.830397976632334,15.564012472963917,15.953175794504867,15.997725315423573,15.758951243242672,15.497728179828062,15.449406317152784,15.460062176599033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3443,13.749566122471506,13.649022535739812,13.600870954236292,13.44510486641882,13.463110150843622,13.23808524728848,13.429905806648648,13.643430092615706,13.436106017345928,13.058617703731272,13.423972708003705,13.101513289170988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
